layer,model,n_params,nmse_mean,kl_mean,top1_mean
12,multisite_linear,1575936,0.8878,3.7522,0.0883
12,mlp_h256,986624,0.8552,3.5972,0.1002
12,mps_env_D4,60416,0.9865,4.2376,0.0523
12,mps_env_D8,232448,0.9455,4.0166,0.0733
12,mps_env_D16,920576,0.909,3.8851,0.0782
12,mps_env_D32,3673088,0.8914,3.8,0.0821
6,multisite_linear,1575936,0.9532,4.0504,0.0792
6,mlp_h256,986624,0.9244,3.8952,0.0928
6,mps_env_D4,60416,1.0189,4.4949,0.0329
6,mps_env_D8,232448,0.9733,4.1322,0.077
6,mps_env_D16,920576,0.9565,4.049,0.0866
6,mps_env_D32,3673088,0.947,3.9925,0.0835
