layer,name,n_params,nmse_mean,kl_mean,top1_mean
12,linear,1575936,0.8679,3.6252,0.0935
12,linear_learned,1625152,0.8537,3.5985,0.0996
12,mlp,986624,0.8469,3.5601,0.1099
12,mlp_learned,1035840,0.8428,3.5733,0.1015
12,mps_pca_D16,920576,0.9063,3.7759,0.0863
12,mps_pca_const_D16,922624,0.8695,3.6701,0.0987
12,mps_learned_const_D16,971840,0.8354,3.5533,0.1078
12,mps_pca_D32,3673088,0.8853,3.7364,0.0914
12,mps_pca_const_D32,3681280,0.8722,3.6866,0.0976
12,mps_learned_const_D32,3730496,0.8321,3.5353,0.1078
6,linear,1575936,0.9417,3.9289,0.0915
6,linear_learned,1625152,0.8943,3.7194,0.0991
6,mlp,986624,0.9184,3.8494,0.0994
6,mlp_learned,1035840,0.8776,3.6804,0.1019
6,mps_pca_D16,920576,0.9544,3.9505,0.0897
6,mps_pca_const_D16,922624,0.9418,3.9515,0.0933
6,mps_learned_const_D16,971840,0.877,3.694,0.105
6,mps_pca_D32,3673088,0.946,3.9535,0.0939
6,mps_pca_const_D32,3681280,0.9349,3.897,0.0974
6,mps_learned_const_D32,3730496,0.8754,3.6803,0.105
